"Story","Title","Result","Date","Stability","Duration (s)"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-11-07T15:09:25.034811901Z[Etc/UTC]","0.0","56.72"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-11-07T15:10:21.812366629Z[Etc/UTC]","0.0","9.0"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-11-07T15:10:30.8417262Z[Etc/UTC]","0.0","6.75"
"Managing the cart","Colin removes an item from the cart on the product catalog page","SUCCESS","2021-11-07T15:10:37.633934352Z[Etc/UTC]","0.0","5.41"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-11-07T15:10:43.063485132Z[Etc/UTC]","0.0","5.06"
"Managing the cart","Colin views the details of a product and adds it to his cart","SUCCESS","2021-11-07T15:10:48.14258234Z[Etc/UTC]","0.0","3.37"
"Managing the cart","Colin adds some items to the cart and reviews his cart contents","SUCCESS","2021-11-07T15:10:51.53646455Z[Etc/UTC]","0.0","2.69"
"Managing the cart","Colin reviews his cart but wants to continue shopping","SUCCESS","2021-11-07T15:10:54.240730398Z[Etc/UTC]","0.0","2.02"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-11-07T15:09:24.548820717Z[Etc/UTC]","0.0","70.47"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-11-07T15:10:35.052682774Z[Etc/UTC]","0.0","5.8"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-11-07T15:10:40.867399879Z[Etc/UTC]","0.0","5.18"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-11-07T15:09:25.207767483Z[Etc/UTC]","0.0","48.73"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-11-07T15:10:13.991730207Z[Etc/UTC]","0.0","8.94"
